year,water_resource_per_capita (cubic_meters)
1961,22228.23
1962,21626.11
1963,21036.34
1964,20458.06
1965,19955.94
1966,19492.84
1967,18997.61
1968,18496.64
1969,18000.12
1970,17519.12
1971,17057.45
1972,16614.25
1973,16187.28
1974,15777.85
1975,15384.88
1976,15006.58
1977,14642.95
1978,14291.58
1979,13951.6
1980,13623.56
1981,13308.38
1982,13004.69
1983,12712.97
1984,12435.63
1985,12176.12
1986,11935.42
1987,11707.94
1988,11489.82
1989,11280.86
1990,11082.02
1991,10890.63
1992,10705.97
1993,10528.47
1994,10356.1
1995,10188.24
1996,10024.64
1997,9865.218
1998,9712.036
1999,9567.439
2000,9429.986
2001,9297.947
2002,9171.111
2003,9049.215
2004,8934.728
2005,8822.791
2006,8708.897
2007,8595.396
2008,8484.195
2009,8376.999
2010,8272.812
2011,8169.577
2012,8067.614
2013,7970.359
2014,7878.476
2015,7791.442
2016,7709.37
2017,7632.169
2018,7558.782
2019,7488.235
2020,7425.569
