tahun,pengambilan_air_tawar,luas_hutan,water_stress,ketersediaan_air_per_kapita_(kubik)
1990,3.681889,65.437714,9.914139,11082.02
1991,3.874804,64.484674,10.433596,10890.63
1992,4.067719,63.531633,10.953053,10705.97
1993,4.260634,62.578592,11.472510,10528.47
1994,4.453529,61.625551,11.991967,10356.1
1995,4.646463,60.672511,12.511425,10188.24
1996,4.839348,59.719470,13.030882,10024.64
1997,5.032258,58.766429,13.550339,9865.218
1998,5.225168,57.813388,14.069796,9712.036
1999,5.418077,56.860348,14.589253,9567.439
2000,5.611037,53.943529,15.108710,9429.986
2001,5.949637,53.857202,16.020450,9297.947
2002,6.288236,53.770875,16.932190,9171.111
2003,6.626836,53.684549,17.843929,9049.215
2004,6.965436,53.598222,18.755669,8934.728
2005,7.304035,53.511895,19.667409,8822.791
2006,7.642635,53.425569,20.579148,8708.897
2007,7.981235,53.339242,21.490888,8595.396
2008,8.319835,53.252915,22.402628,8484.195
2009,8.658434,53.166588,23.314367,8376.999
2010,8.997034,53.080262,24.226107,8272.812
2011,9.335634,52.586919,25.137847,8169.577
2012,9.674233,52.093577,26.049587,8067.614
2013,10.012833,51.600234,26.961326,7970.359
2014,10.351433,51.106892,27.873066,7878.476
2015,10.690033,50.613549,28.784806,7791.442
2016,11.028632,50.743455,29.696545,7709.37
2017,11.028632,50.039334,29.696545,7632.169
2018,11.028632,49.716818,29.696545,7558.782
2019,11.028632,49.394296,29.696545,7488.235
2020,11.028632,49.071780,29.696545,7425.569
2021,9.217488,48.361945,24.819723,
2022,9.747606,46.788562,26.247158,
2023,9.913105,46.297364,26.692793,
2024,10.078604,45.806166,27.138428,
2025,10.244103,45.314968,27.584063,
2026,10.409602,44.82377,28.029698,
2027,10.575101,44.332572,28.475333,
2028,10.7406,43.841374,28.920967,
2029,10.906099,43.350176,29.366602,
2030,11.071598,42.858979,29.812237,
2031,11.237097,42.367781,30.257872,
